artists,name,genres
"Camille Saint-Saëns,  National Symphony Orchestra New York,  Walter Damrosch",Henry VIII: Jig and Finale - 1929 Recording,Unknown
"Gabriel Fauré,  National Symphony Orchestra New York,  Walter Damrosch","Pavane, Op. 50 - 1929 Recording",Unknown
"Franz von Suppé,  Vienna State Opera Orchestra,  Leopold Reichwein",Die schöne Galathea: Overture - 1929 Recording,Unknown
"Orquesta Tipica Boliviana,  Felipe V. Rivera",Gotas De Sangre / Teresita (Bailes Bolivianos),Unknown
Raquel Meller,Canastilla de Flores,Unknown
Carmen Miranda,Mulato Anti-Metropolitano,Unknown
Pello Revolvers,Forbidden Ghost,Unknown
Giorgos Papasideris,Mori Koumpara Giorgena,Unknown
G. Siroto,Ovinu malkenu,Unknown
Ignacio Corsini,Madre - Remasterizado,Unknown
Anika Rizvi,Chhai Ghata Ghanghor,Unknown
ANTONIS NTALGKAS,O vlamis tou psurri,Unknown
Paradosiako I. KIriakatis,Mia Papadia,Unknown
"Francisco Canaro,  Charlo",Que Gilito! - Remasterizado,Unknown
Rita Ampatzi,Pano se vlaxika konakia,Unknown
H.P. Lovecraft,Capítulo 18.4 & Capítulo 19.1 - el Que Susurraba en la Oscuridad,Unknown
Juthika Roy,Akash Pradip Dake,Unknown
Λαϊκή Ορχήστρα Μιχάλη Φελουζή,Πισομέρη,Unknown
"Johann Strauss II,  Walther Ludwig,  Chor Der Staatsoper Berlin,  Staatskapelle Berlin,  Gerhard Steeger",Eine Nacht in Venedig: Komm in die Gondel,Unknown
"Nikos Gounaris,  Fotis Polimeris",Mikri horiatopoula,Unknown
Τα Πολιτάκια,Γκιουζέλ,Unknown
"Nikolai Rimsky-Korsakov,  Pierre Monteux","Symphony No. 2, Op. 9 ""Antar"": IV. Allegretto vivace - Adagio",Unknown
Ignacio Corsini,Cuento Criollo - Remasterizado,Unknown
"Adolph Green,  John Reardon,  Kenneth Bridges,  Lady in the Dark Ensemble (1963)",The Greatest Show on Earth,Unknown
Jupiter Coyote,Little Drummer Boy,Unknown
"Francisco Canaro,  Charlo",Pegandole al Cimarron - Remasterizado,Unknown
Memphis Minnie,I Called You This Morning,"blues, Classic Blues, female vocalists, guitar, blues female vocalists"
Merricks Orchestra,Married to You,"jazz, calypso, raw, heinz et edith, music from the islands"
"Francisco Canaro,  Charlo",¿Qué Haremos Hoy? - Remasterizado,Unknown
Markos Vamvakaris,Adika me katakrinoun,Unknown
"Baron Lee,  The Blue Rhythm Band,  Charlie Holmes",The Growl,Unknown
Margarita Cueto,Las Tardes del Ritz,Unknown
Ignacio Corsini,Mi Oración - Remasterizado,Unknown
Λαϊκή Ορχήστρα Μιχάλη Φελουζή,Ερινάκι,Unknown
"Georgia Mittaki,  Giorgos Nakos",Na Mouna Stin Arahova,Unknown
Sotiris Stasinopoulos,Tris Stavraeti,Unknown
Francisco Canaro,Comparsa Criolla - Instrumental (Remasterizado),Unknown
Los Aymaras,Cholita (Bailecito),Unknown
Giorgos Papasideris,Kristallo,Unknown
H.P. Lovecraft,Capítulo 8.2 - el Que Susurraba en la Oscuridad,Unknown
Λαϊκή Ορχήστρα Μιχάλη Φελουζή,Απάνω χοχλαστές,Unknown
"Margarita Cueto,  Carlos Mejía",Flores del Pasado,Unknown
Jack Payne,Dream Star of Araby,Unknown
Buck Clayton,Sentimental Summer,Unknown
"Ioannou Georgakopoulou,  Stauros Keromitis",H fisarmonika,Unknown
Miss Das,Jadi Daker Mata Paritam Dakte,Unknown
Juthika Roy,Amar Bhuban Kaan Pete Roy,Unknown
"Francisco Canaro,  Francisco Amor",El Silbido - Remasterizado,Unknown
Georgius,On L'appelait Fleur Des Fortifs,Unknown
Earl Hines & His Orchestra,Yellow Fire,Unknown
"Robert Schumann,  Claudio Arrau","Kreisleriana, Op. 16: I. Äußerst bewegt",Unknown
"Claude Debussy,  Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris,  Roger Desormiere,  Orchestre Symphonique De Paris","Pelléas et Mélisande (2006 Digital Remaster), Act IV, Scene Three: Oh! Cette pierre est lourde...(Yniold/Le berger)",Unknown
Mrinal Kanti Ghosh,Amar Kaj Ki Ma Samanya Dhone,Unknown
Sonny Boy Williamson I,New Early In The Morning,Unknown
"Giorgos Papasideris,  Klarino G. Anestopoulos",Poulaki Xeno,Unknown
"Johannes Brahms,  Arthur Rubinstein,  Jascha Heifetz,  Emanuel Feuermann","Piano Trio, Op. 8 in B: Allegro",Unknown
Mixalis Thomakos,Ntona Klara,Unknown
"KATZIGHS,  Leti Metcalfe",Little Drummer Boy,Unknown
Roza Eskenazi,O Gamos Tou Mpekri,Unknown
Luis Russell & His Louisiana Swing Orchestra,Panama - 78 rpm Version,Unknown
Ignacio Corsini,Hay Casorio en la Chacra - Remasterizado,Unknown
Eddie Condon,Some Sunny Day,Unknown
H.P. Lovecraft,Capítulo 25.3 - el Que Susurraba en la Oscuridad,Unknown
Krishna Bhamini,Alase Abashe Bal Kali,Unknown
Noor Jehan,Raaz Khulta Nazar Nahin Aata,Unknown
Rita Ampatzi,Ta paidia tis agoras,Unknown
P.Pinchink,Av horachamin,Unknown
Sotiris Stasinopoulos,Odisseas Androutsos,Unknown
Juthika Roy,Deep Nibhiyachhe Jhare,Unknown
Pedro Maffia,Por Amarte,Unknown
Stan Kenton & His Orchestra,Easy Go,Unknown
Francisco Canaro,Tras Cartón - Instrumental (Remasterizado),Unknown
Ορχήστρα Γεωργίου Μέγα,Σοφούλι,Unknown
Orquesta Centro Artístico Hayden,Jenecheyrú (Carnaval Taquirari),Unknown
Pedro Maffia,Chique - Agua Florida,Unknown
Αντώνης Διαμαντίδης,Μαριόλικο,Unknown
"Markos Vamvakaris,  Apostolos Xatzixristos",Soultana maurofora,Unknown
"Carl Maria von Weber,  Claudio Arrau","Piano Sonata No. 1 in C Major, J. 138: III. Minuetto - Allegro",Unknown
Νίκος Γούναρης,Νάνι νάνι,Unknown
Эрнест Хемингуэй,Часть 4.3 & Часть 5.1 - Прощай оружие,Unknown
Ignacio Corsini,Alma Gaucha - Remasterizado,Unknown
Giorgos Papasideris,Mi Kles Marouso Mou,Unknown
"Francisco Canaro,  Charlo",Guapo Sin Grupo - Remasterizado,Unknown
"Cornélio Pires,  Pedro Massa",Numa Escola Sertaneja,Unknown
Эрих Мария Ремарк,Часть 35.4 & Часть 36.1 - На Западном фронте без перемен,Unknown
Эрих Мария Ремарк,Часть 39.2 - На Западном фронте без перемен,Unknown
Эрих Мария Ремарк,Часть 20.4 & Часть 21.1 - На Западном фронте без перемен,Unknown
Эрих Мария Ремарк,Часть 108.3 & Часть 109.1 - На Западном фронте без перемен,Unknown
"Francisco Canaro,  Charlo",A Lo Gaucho - Remasterizado,Unknown
Monique Nikkole,This Christmas,Unknown
Mistinguett,Rita,Unknown
Francisco Canaro,La Guardia Vieja - Instrumental (Remasterizado),Unknown
Sunder Singh,Suno Preet Na Kariyo Koi,Unknown
Francisco Canaro,Cañero - Instrumental (Remasterizado),Unknown
"Francisco Canaro,  Charlo",Estampilla - Remasterizado,Unknown
Gesky,Quand Refleuriront Les Lilas Blancs,Unknown
Ignacio Corsini,Soy un Arlequín - Remasterizado,Unknown
"Richard Strauss,  London Philharmonic Orchestra",Tod und Verklärung Op. 24,Unknown
Buck Clayton,It's Dizzy,Unknown
"Peter Erasmus Lange-Müller,  Orchestra of the Royal Danish Theatre,  Georg Høeberg","Der var Engang: No. 3, Serenade",Unknown
Эрнест Хемингуэй,Часть 41.3 & Часть 42.1 - Прощай оружие,Unknown
"Francisco Canaro,  Charlo",La Divina Dama - Remasterizado,Unknown
Hemant Kumar,Oyi Bhubanmonomohini,Unknown
Эрих Мария Ремарк,Часть 89.3 & Часть 90.1 - На Западном фронте без перемен,Unknown
Francisco Canaro,El Barbijo - Remasterizado,Unknown
"Francisco Canaro,  Charlo",Cuando Llora el Corazón - Remasterizado,Unknown
Francisco Canaro,El Triunfo de la Milonga - Instrumental (Remasterizado),Unknown
Эрих Мария Ремарк,Часть 8.4 & Часть 9.1 - На Западном фронте без перемен,Unknown
"Francisco Canaro,  Charlo",Primer Auxilio - Remasterizado,Unknown
Francisco Canaro,Quimera de Amor - Instrumental (Remasterizado),Unknown
Francisco Canaro,Cruz de Palo - Instrumental (Remasterizado),Unknown
Francisco Canaro,Primavera - Instrumental (Remasterizado),Unknown
Эрнест Хемингуэй,Часть 12.3 - Прощай оружие,Unknown
Эрнест Хемингуэй,Часть 27.3 - Прощай оружие,Unknown
Carroll Gibbons,Do Something (Carroll Gibbons),Unknown
Marie Dubas,C'est Si Bon Quand C'est Défendu,Unknown
Francisco Canaro,Jacqueline - Remasterizado,Unknown
"Francisco Canaro,  Charlo",Jeannette - Remasterizado,Unknown
"Francisco Canaro,  Charlo",Los Angeles - Remasterizado,Unknown
"Francisco Canaro,  Ada Falcón",Hermanita - Instrumental (Remasterizado),Unknown
"Francisco Canaro,  Charlo",Mentiras Criollas - Remasterizado,Unknown
"Francisco Canaro,  Charlo",Bebita - Remasterizado,Unknown
Ignacio Corsini,Alma de Mujer - Remasterizado,Unknown
Эрих Мария Ремарк,Часть 57.2 - На Западном фронте без перемен,Unknown
Ignacio Corsini,Gomina - Remasterizado,Unknown
Francisco Canaro,Horas de Ensueño - Remasterizado,Unknown
Ignacio Corsini,Alma en Pena - Remasterizado,Unknown
Memphis Slim,Pacemaker Boogie,"jazz, piano blues"
Ted Weems & His Orchestra,"Nothin' On My Mind - But The Moonlight, The Starlight And You",Unknown
Эрих Мария Ремарк,Часть 79.2 - На Западном фронте без перемен,Unknown
"Ludwig van Beethoven,  Staatskapelle Berlin,  Richard Strauss","Symphony No. 5 in C Minor, Op. 67: 1. Allegro con brio",Unknown
M. Malloire,Séduction,Unknown
Francisco Canaro,Piantate por Favor - Instrumental (Remasterizado),Unknown
"Sergei Rachmaninoff,  Vladimir Horowitz","Piano Sonata No. 2 in B-Flat Minor, Op. 36: II. Non allegro - Lento - Più mosso",Unknown
"Anton Bruckner,  Columbia Symphony Orchestra,  Bruno Walter","Symphony No. 9 in D Minor, WAB 109 (Original 1894 Version): III. Adagio. Langsam, feierlich - Edition: Leopold Nowak",Unknown
"Roop,  Shyam",Nainon Se Nain Mila Le,Unknown
"Cornélio Pires,  Pedro Massa",Entre Italiano e Alemão,Unknown
Эрнест Хемингуэй,Часть 32.2 - Прощай оружие,Unknown
Francisco Canaro,Suspiros - Instrumental (Remasterizado),Unknown
"Frédéric Chopin,  Maryla Jonas","Polonaise in C-Sharp Minor, Op. 26 No. 1",Unknown
Эрих Мария Ремарк,Часть 54.2 & Часть 55.1 - На Западном фронте без перемен,Unknown
Эрих Мария Ремарк,Часть 26.2 - На Западном фронте без перемен,Unknown
"Maurice Ravel,  Pierre Monteux","Daphnis et Chloé - Suite No. 1, M. 57a: Danse guerrière",Unknown
"Cornélio Pires,  Pedro Massa",Jorginho do Sertão - Moda de Viola,Unknown
Francisco Canaro,Malhaya - Instrumental (Remasterizado),Unknown
Ignacio Corsini,Arco Iris - Remasterizado,Unknown
Эрих Мария Ремарк,Часть 82.3 & Часть 83.1 - На Западном фронте без перемен,Unknown
Эрнест Хемингуэй,Часть 26.2 & Часть 27.1 - Прощай оружие,Unknown
