artista,nombre_cancion,genres
khalid,saturday nights,"rnb, chill, Hip-Hop, soul, alternative"
twenty one pilots,chlorine,"indie pop, rock, alternative pop, trip hop, indie"
martin garrix,high on life (feat. bonn),"Progressive House, House, electro house, EDM, bonn"
future,first off (feat. travis scott),"banger, cactus jack, travis scott, MySpotigramBot, cold 🥶"
travis scott,butterfly effect,"trap, 2017, rap, cloud rap, Hip-Hop"
migos,walk it talk it,"Hip-Hop, rap, trap, MySpotigramBot, Gangsta Rap"
polo g,pop out (feat. lil tjay),"trap, hip hop, rap, Gangsta Rap, pop rap"
khalid,otw,"rnb, pop, trap, pop rap, ty dolla sign"
the chainsmokers,kills you slowly,"pop, dance, alternative pop, trap, eletronic"
dean lewis,7 minutes,"pop, indie pop, acoustic, Aussie, acoustic pop"
schoolboy q,numb numb juice,"Hip-Hop, rap, trap, 2010s, gangsta"
summer walker,girls need love (with drake) - remix,"Hip-Hop, rap, rnb, mood, Drake"
brytiago,controla,Unknown
why don't we,i don't belong in this club,Unknown
